Function, Edmund optics part number, amount, cost per part,total
folding mirror,45-608,1,113,113
colimator lens,49-286,1,192,192
grating,49-584,1,236,236
focusing lens,49-286,1,192,192
window,37-022,1,135,135
round mounts,15-867 ,4,92,368
square mount,54-995,1,122,122
tilt shift lens,1,0,100,0
,,,,
,,,,
,,,,1358
