file,hdu_index,hdu_name,data_shape
WAVE_PHOENIX-ACES-AGSS-COND-2011.fits,0,PRIMARY,"(1569128,)"
lte06000-4.00-0.0.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,0,PRIMARY,"(1569128,)"
lte06000-4.00-0.0.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,1,ABUNDANCES,"(83,)"
